Player,Year,Surface,Matches,Wins,Win_pct
Behrend T.,2004,Clay,14,5,35.714285714285715
Behrend T.,2004,Hard,1,0,0.0
Behrend T.,2005,Carpet,3,2,66.66666666666666
Behrend T.,2005,Clay,12,5,41.66666666666667
Behrend T.,2005,Grass,2,0,0.0
Behrend T.,2005,Hard,4,0,0.0
Behrend T.,2006,Clay,9,3,33.33333333333333
Behrend T.,2006,Grass,1,0,0.0
Behrend T.,2006,Hard,5,1,20.0
Behrmann M.,2003,Hard,1,0,0.0
Belal C.,2001,Clay,1,0,0.0
Belic L.,2006,Clay,1,0,0.0
Belic L.,2007,Clay,1,0,0.0
Belic L.,2008,Clay,1,0,0.0
Bellier A.,2016,Clay,1,0,0.0
Bellier A.,2017,Clay,1,0,0.0
Bellier A.,2022,Grass,4,3,75.0
Bellier A.,2022,Hard,2,1,50.0
Bellier A.,2023,Hard,1,0,0.0
Bellotti R.,2017,Clay,1,0,0.0
Bellucci M.,2023,Hard,1,0,0.0
Bellucci M.,2024,Clay,1,0,0.0
Bellucci M.,2024,Grass,1,0,0.0
Bellucci M.,2024,Hard,11,5,45.45454545454545
Bellucci M.,2025,Clay,6,2,33.33333333333333
Bellucci M.,2025,Grass,6,3,50.0
Bellucci M.,2025,Hard,16,7,43.75
Bellucci M.,2026,Hard,7,2,28.57142857142857
Bellucci T.,2008,Clay,4,1,25.0
Bellucci T.,2008,Grass,2,1,50.0
Bellucci T.,2008,Hard,8,1,12.5
Bellucci T.,2009,Clay,18,10,55.55555555555556
Bellucci T.,2009,Hard,15,7,46.666666666666664
Bellucci T.,2010,Clay,29,19,65.51724137931035
Bellucci T.,2010,Grass,3,2,66.66666666666666
Bellucci T.,2010,Hard,23,10,43.47826086956522
Bellucci T.,2011,Clay,22,13,59.09090909090909
Bellucci T.,2011,Grass,4,2,50.0
Bellucci T.,2011,Hard,20,7,35.0
Bellucci T.,2012,Clay,23,14,60.86956521739131
Bellucci T.,2012,Grass,1,0,0.0
Bellucci T.,2012,Hard,19,8,42.10526315789473
Bellucci T.,2013,Clay,12,4,33.33333333333333
Bellucci T.,2013,Hard,10,3,30.0
Bellucci T.,2014,Clay,18,10,55.55555555555556
Bellucci T.,2014,Hard,9,4,44.44444444444444
Bellucci T.,2015,Clay,30,19,63.33333333333333
Bellucci T.,2015,Grass,2,0,0.0
Bellucci T.,2015,Hard,23,9,39.130434782608695
Bellucci T.,2016,Clay,17,6,35.294117647058826
Bellucci T.,2016,Grass,3,1,33.33333333333333
Bellucci T.,2016,Hard,13,6,46.15384615384615
Bellucci T.,2017,Clay,24,11,45.83333333333333
Bellucci T.,2017,Grass,2,0,0.0
Bellucci T.,2017,Hard,6,1,16.666666666666664
Bellucci T.,2018,Clay,6,1,16.666666666666664
Bellucci T.,2021,Hard,1,0,0.0
Bellucci T.,2023,Clay,1,0,0.0
Belyaev I.,2010,Hard,1,0,0.0
Bemelmans R.,2010,Grass,1,0,0.0
Bemelmans R.,2010,Hard,4,1,25.0
Bemelmans R.,2011,Grass,4,1,25.0
Bemelmans R.,2012,Grass,5,2,40.0
Bemelmans R.,2012,Hard,4,1,25.0
Bemelmans R.,2013,Clay,2,1,50.0
Bemelmans R.,2013,Hard,6,2,33.33333333333333
Bemelmans R.,2015,Clay,2,0,0.0
Bemelmans R.,2015,Grass,2,0,0.0
Bemelmans R.,2015,Hard,6,2,33.33333333333333
Bemelmans R.,2016,Grass,1,0,0.0
Bemelmans R.,2016,Hard,3,2,66.66666666666666
